Date,Visitor,VisitorPts,Home,HomePts
10/30/2012,WAS,84,CLE,94
10/30/2012,DAL,99,LAL,91
10/30/2012,BOS,107,MIA,120
10/31/2012,SAC,87,CHI,93
10/31/2012,HOU,105,DET,96
10/31/2012,MEM,92,LAC,101
10/31/2012,SAS,99,MIN,95
10/31/2012,DEN,75,PHI,84
10/31/2012,GSW,87,PHO,85
10/31/2012,LAL,106,POR,116
10/31/2012,IND,90,TOR,88
10/31/2012,DAL,94,UTA,113
11/1/2012,OKC,84,SAS,86
11/2/2012,HOU,109,ATL,102
11/2/2012,MIA,99,BOS,88
11/2/2012,IND,89,BRK,90
11/2/2012,CHI,115,CLE,86
11/2/2012,MEM,104,GSW,94
11/2/2012,LAC,105,LAL,95
11/2/2012,SAC,80,MIN,92
11/2/2012,UTA,86,MIN,88
11/2/2012,MIA,84,NYK,104
11/2/2012,POR,92,OKC,106
11/2/2012,DEN,89,ORL,102
11/2/2012,DET,89,PHO,92
11/3/2012,TOR,100,BRK,107
11/3/2012,MIN,89,CHI,82
11/3/2012,BRK,99,DAL,126
11/3/2012,POR,95,HOU,85
11/3/2012,SAC,98,IND,106
11/3/2012,GSW,114,LAC,110
11/3/2012,DEN,116,MIA,119
11/3/2012,CLE,102,MIA,105
11/3/2012,UTA,100,SAS,110
11/3/2012,BOS,89,WAS,86
11/4/2012,DET,79,LAL,108
11/4/2012,PHI,84,NYK,100
11/4/2012,ATL,104,OKC,95
11/4/2012,PHO,94,ORL,115
11/4/2012,MIN,86,TOR,105
11/5/2012,MIN,107,BRK,96
11/5/2012,POR,91,DAL,114
11/5/2012,CLE,108,LAC,101
11/5/2012,UTA,94,MEM,103
11/5/2012,PHO,99,MIA,124
11/5/2012,NYK,110,PHI,88
11/5/2012,GSW,92,SAC,94
11/5/2012,IND,79,SAS,101
11/6/2012,ORL,93,CHI,99
11/6/2012,DET,97,DEN,109
11/6/2012,TOR,88,OKC,108
11/7/2012,IND,86,ATL,89
11/7/2012,WAS,94,BOS,100
11/7/2012,PHO,117,BRK,110
11/7/2012,TOR,104,DAL,109
11/7/2012,CLE,96,GSW,106
11/7/2012,DEN,93,HOU,87
11/7/2012,SAS,84,LAC,106
11/7/2012,BRK,73,MIA,103
11/7/2012,MEM,108,MIA,90
11/7/2012,ORL,75,MIN,90
11/7/2012,PHI,77,MIN,62
11/7/2012,DET,103,SAC,105
11/7/2012,LAL,86,UTA,95
11/8/2012,OKC,97,CHI,91
11/8/2012,LAC,103,POR,90
11/9/2012,MIA,95,ATL,89
11/9/2012,PHI,106,BOS,100
11/9/2012,UTA,84,DEN,104
11/9/2012,GSW,77,LAL,101
11/9/2012,HOU,85,MEM,93
11/9/2012,IND,94,MIN,96
11/9/2012,BRK,99,MIN,107
11/9/2012,DAL,94,NYK,104
11/9/2012,DET,94,OKC,105
11/9/2012,BRK,107,ORL,68
11/9/2012,CLE,105,PHO,107
11/9/2012,SAS,97,SAC,86
11/9/2012,MIA,101,WAS,91
11/10/2012,DAL,97,BRK,101
11/10/2012,MIN,80,CHI,87
11/10/2012,DEN,107,GSW,101
11/10/2012,DET,82,HOU,96
11/10/2012,WAS,85,IND,89
11/10/2012,BOS,96,MIA,92
11/10/2012,SAS,112,POR,109
11/10/2012,PHI,93,TOR,83
11/10/2012,PHO,81,UTA,94
11/11/2012,ORL,74,BRK,82
11/11/2012,ATL,76,LAC,89
11/11/2012,SAC,90,LAL,103
11/11/2012,MIA,86,MEM,104
11/11/2012,CLE,91,OKC,106
11/12/2012,BOS,101,CHI,95
11/12/2012,MIN,90,DAL,82
11/12/2012,OKC,92,DET,90
11/12/2012,MIA,113,HOU,110
11/12/2012,MIA,105,PHI,96
11/12/2012,DEN,100,PHO,110
11/12/2012,ATL,95,POR,87
11/12/2012,UTA,140,TOR,133
11/13/2012,CLE,101,BRK,114
11/13/2012,WAS,76,BRK,92
11/13/2012,TOR,74,IND,72
11/13/2012,SAS,84,LAL,82
11/13/2012,NYK,99,ORL,89
11/13/2012,POR,103,SAC,86
11/14/2012,UTA,93,BOS,98
11/14/2012,WAS,101,DAL,107
11/14/2012,ATL,88,GSW,92
11/14/2012,MIN,96,HOU,100
11/14/2012,MIA,100,LAC,107
11/14/2012,IND,85,MIA,99
11/14/2012,BRK,89,MIN,87
11/14/2012,MEM,107,OKC,97
11/14/2012,DET,94,PHI,76
11/14/2012,CHI,112,PHO,106
11/15/2012,BOS,97,BRK,102
11/15/2012,MIA,98,DEN,93
11/15/2012,NYK,104,SAS,100
11/16/2012,ORL,110,DET,106
11/16/2012,DAL,83,IND,103
