name,prefix_1,prefix_2
atlanta hawks,atl,atlanta-hawks
boston celtics,bos,boston-celtics
brooklyn nets,brk,brooklyn-nets
charlotte bobcats,cha,charlotte-bobcats
chicago bulls,chi,chicago-bulls
cleveland cavaliers,cle,cleveland-cavaliers
dallas mavericks,dal,dallas-mavericks
denver nuggets,den,denver-nuggets
detroit pistons,det,detroit-pistons
golden state warriors,gsw,golden-state-warriors
houston rockets,hou,houston-rockets
indiana pacers,ind,indiana-pacers
los angeles clippers,lac,los-angeles-clippers
los angeles lakers,lal,los-angeles-lakers
memphis grizzlies,mem,memphis-grizzlies
miami heat,mia,miami-heat
milwaukee bucks,mil,milwaukee-bucks
minnesota timberwolves,min,minnesota-timberwolves
new orleans hornets,no,new-orleans-hornets
new york knicks,nyk,new-york-knicks
oklahoma city thunder,okc,oklahoma-city-thunder
orlando magic,orl,orlando-magic
philadelphia 76ers,phi,philadelphia-76ers
phoenix suns,pho,phoenix-suns
portland trail blazers,por,portland-trail-blazers
sacramento kings,sac,sacramento-kings
san antonio spurs,sas,san-antonio-spurs
toronto raptors,tor,toronto-raptors
utah jazz,uta,utah-jazz
washington wizards,was,washington-wizards

